x,y,z,v_x,v_y,v_z,roll,pitch,yaw,angular_v
0.0,0.0,1.735290899999999,0.0,0.0,2.6094600000000034,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.761483599999999,0.0,0.0,2.6290800000000036,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.7878724999999989,0.0,0.0,2.648700000000004,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.814457599999999,0.0,0.0,2.668320000000004,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.8412388999999991,0.0,0.0,2.687940000000004,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.8682163999999992,0.0,0.0,2.7075600000000044,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.8953900999999993,0.0,0.0,2.7271800000000046,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.9227599999999994,0.0,0.0,2.746800000000005,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.9503260999999994,0.0,0.0,2.766420000000005,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.9780883999999994,0.0,0.0,2.786040000000005,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.0060468999999994,0.0,0.0,2.8056600000000054,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.0342015999999994,0.0,0.0,2.8252800000000056,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.0625524999999993,0.0,0.0,2.8449000000000058,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.0910995999999993,0.0,0.0,2.864520000000006,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.119842899999999,0.0,0.0,2.884140000000006,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.148782399999999,0.0,0.0,2.9037600000000063,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.177918099999999,0.0,0.0,2.9233800000000065,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.207249999999999,0.0,0.0,2.9430000000000067,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.236778099999999,0.0,0.0,2.962620000000007,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.2665023999999994,0.0,0.0,2.982240000000007,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.2964228999999996,0.0,0.0,3.0018600000000073,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.3265396,0.0,0.0,3.0214800000000075,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.3568525,0.0,0.0,3.0411000000000077,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.3873616,0.0,0.0,3.060720000000008,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.4180669000000004,0.0,0.0,3.080340000000008,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.4489684000000005,0.0,0.0,3.0999600000000083,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.4800661000000006,0.0,0.0,3.1195800000000085,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.5113600000000007,0.0,0.0,3.1392000000000087,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.542850100000001,0.0,0.0,3.158820000000009,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.574536400000001,0.0,0.0,3.178440000000009,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.606418900000001,0.0,0.0,3.1980600000000092,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.638497600000001,0.0,0.0,3.2176800000000094,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.670772500000001,0.0,0.0,3.2373000000000096,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.703243600000001,0.0,0.0,3.25692000000001,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.735910900000001,0.0,0.0,3.27654000000001,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.7687744000000007,0.0,0.0,3.29616000000001,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.8018341000000007,0.0,0.0,3.3157800000000104,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.8350900000000006,0.0,0.0,3.3354000000000106,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.868542100000001,0.0,0.0,3.3550200000000108,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.902190400000001,0.0,0.0,3.374640000000011,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.9360349000000014,0.0,0.0,3.394260000000011,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,2.9700756000000017,0.0,0.0,3.4138800000000113,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,3.004312500000002,0.0,0.0,3.4335000000000115,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,3.038745600000002,0.0,0.0,3.4531200000000117,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,3.0733749000000024,0.0,0.0,3.472740000000012,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,3.1082004000000025,0.0,0.0,3.492360000000012,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,3.1432221000000027,0.0,0.0,3.5119800000000123,0.0,0.0,0.0,[0. 0. 0.]
